type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V6,0,I0472,0.0,0.0,0.0,0
V6,0,I0627,2000.0,0.0,0.0,0
V6,0,I0713,0.0,1200.0,0.0,0
V6,0,I0062,4000.0,0.0,0.0,1
V6,0,I0496,2000.0,1200.0,0.0,0
V6,0,I1010,2000.0,1200.0,1295.0,0
V6,0,I0165,5600.0,0.0,0.0,3
V7,1,I0064,0.0,0.0,0.0,0
V7,1,I0087,2200.0,0.0,0.0,1
V7,1,I0702,0.0,0.0,1450.0,0
V7,1,I0800,1900.0,0.0,1450.0,0
V7,1,I0065,0.0,1600.0,0.0,0
V7,2,I0120,0.0,0.0,0.0,0
V7,2,I0223,2200.0,0.0,0.0,1
V7,2,I0803,0.0,0.0,1450.0,0
V7,2,I0982,1900.0,0.0,1450.0,0
V7,2,I0334,0.0,1600.0,0.0,0
V7,3,I0253,0.0,0.0,0.0,0
V7,3,I0672,2200.0,0.0,0.0,1
V7,3,I1088,0.0,0.0,1450.0,0
V7,3,I1126,1900.0,0.0,1450.0,0
V7,3,I1089,0.0,1600.0,0.0,0
V7,3,I1078,780.0,1600.0,0.0,0
V7,4,I0910,0.0,0.0,0.0,0
V7,4,I0987,2200.0,0.0,0.0,1
V7,4,I1145,0.0,0.0,1450.0,0
V7,4,I1209,1900.0,0.0,1450.0,0
V7,4,I0882,0.0,1600.0,0.0,0
V7,4,I0163,780.0,1600.0,0.0,0
V7,5,I0988,0.0,0.0,0.0,0
V7,5,I1140,2200.0,0.0,0.0,1
V7,5,I1222,0.0,0.0,1450.0,0
V7,5,I1261,1900.0,0.0,1450.0,0
V7,5,I0171,0.0,1600.0,0.0,0
V7,5,I0553,780.0,1600.0,0.0,0
V7,6,I1160,0.0,0.0,0.0,0
V7,6,I1162,2200.0,0.0,0.0,1
V7,6,I1268,0.0,0.0,1450.0,0
V7,6,I0090,1900.0,0.0,1450.0,0
V7,6,I0212,0.0,1600.0,0.0,0
V7,7,I1170,0.0,0.0,0.0,0
V7,7,I1220,2200.0,0.0,0.0,1
V7,7,I0155,0.0,0.0,1450.0,0
V7,7,I0408,1600.0,0.0,1450.0,0
V7,8,I1286,0.0,0.0,0.0,0
V7,8,I0017,2200.0,0.0,0.0,1
V7,8,I0277,0.0,0.0,1450.0,0
V7,8,I0799,1600.0,0.0,1450.0,0
V7,8,I0414,0.0,1600.0,0.0,0
V7,9,I0044,0.0,0.0,0.0,0
V7,9,I0109,2050.0,0.0,0.0,0
V7,10,I0236,0.0,0.0,0.0,0
V7,10,I0239,2050.0,0.0,0.0,0
V7,11,I0274,0.0,0.0,0.0,0
V7,11,I0305,2050.0,0.0,0.0,0
V7,12,I0383,0.0,0.0,0.0,0
V7,12,I0396,2050.0,0.0,0.0,0
V7,13,I0412,0.0,0.0,0.0,0
V7,13,I0601,2050.0,0.0,0.0,0
V7,14,I0625,0.0,0.0,0.0,0
V7,14,I0631,2050.0,0.0,0.0,0
V7,15,I0644,0.0,0.0,0.0,0
V7,15,I0701,2050.0,0.0,0.0,0
V7,16,I0749,0.0,0.0,0.0,0
V7,16,I0757,2050.0,0.0,0.0,0
V7,17,I0767,0.0,0.0,0.0,0
V7,17,I0836,2050.0,0.0,0.0,0
V7,18,I0929,0.0,0.0,0.0,0
V7,18,I0943,2050.0,0.0,0.0,0
V7,19,I0950,0.0,0.0,0.0,0
V7,19,I0961,2050.0,0.0,0.0,0
V7,20,I1035,0.0,0.0,0.0,0
V7,20,I1046,2050.0,0.0,0.0,0
V7,21,I1073,0.0,0.0,0.0,0
V7,21,I1091,2050.0,0.0,0.0,0
V7,22,I1097,0.0,0.0,0.0,0
V7,22,I1165,2050.0,0.0,0.0,0
V7,23,I1236,0.0,0.0,0.0,0
V7,23,I1250,2050.0,0.0,0.0,0
V7,24,I1280,0.0,0.0,0.0,0
V7,24,I0372,2050.0,0.0,0.0,0
V7,24,I0570,2050.0,0.0,1350.0,0
V7,24,I0518,0.0,0.0,1450.0,0
V7,25,I0377,0.0,0.0,0.0,0
V7,25,I0409,2030.0,0.0,0.0,0
V7,25,I1292,0.0,0.0,1350.0,0
V7,25,I0852,2350.0,0.0,1350.0,0
V7,26,I0716,0.0,0.0,0.0,0
V7,26,I0850,2030.0,0.0,0.0,0
V7,26,I0210,0.0,0.0,1350.0,0
V7,26,I0508,1800.0,0.0,1350.0,0
V7,26,I0681,0.0,1530.0,0.0,0
V7,26,I0692,780.0,1530.0,0.0,0
V7,27,I0883,0.0,0.0,0.0,0
V7,27,I0343,2030.0,0.0,0.0,0
V7,27,I0471,2030.0,0.0,975.0,0
V7,27,I0177,0.0,0.0,1350.0,0
V7,27,I1193,0.0,1530.0,0.0,0
V7,28,I0724,0.0,0.0,0.0,0
V7,28,I0110,1910.0,0.0,0.0,0
V7,28,I0048,0.0,1200.0,0.0,0
V7,29,I0761,0.0,0.0,0.0,0
V7,29,I0326,1910.0,0.0,0.0,0
V7,29,I0093,0.0,1200.0,0.0,0
V7,30,I0854,0.0,0.0,0.0,0
V7,30,I0480,1910.0,0.0,0.0,0
V7,30,I0141,0.0,1200.0,0.0,0
V7,31,I0980,0.0,0.0,0.0,0
V7,31,I0659,1910.0,0.0,0.0,0
V7,31,I0191,0.0,1200.0,0.0,0
V7,32,I1005,0.0,0.0,0.0,0
V7,32,I0673,1910.0,0.0,0.0,0
V7,32,I0198,0.0,1200.0,0.0,0
V7,33,I1293,0.0,0.0,0.0,0
V7,33,I0746,1910.0,0.0,0.0,0
V7,33,I0285,0.0,1200.0,0.0,0
V7,34,I1296,0.0,0.0,0.0,0
V7,34,I0863,1910.0,0.0,0.0,0
V7,34,I0306,0.0,1200.0,0.0,0
V7,35,I0101,0.0,0.0,0.0,0
V7,35,I0054,1800.0,0.0,0.0,0
V7,35,I1265,0.0,1200.0,0.0,0
V7,36,I0398,0.0,0.0,0.0,0
V7,36,I0097,1800.0,0.0,0.0,0
V7,36,I0228,0.0,1200.0,0.0,0
V7,37,I0817,0.0,0.0,0.0,0
V7,37,I0104,1800.0,0.0,0.0,0
V7,37,I0375,0.0,1200.0,0.0,0
V7,38,I0013,0.0,0.0,0.0,0
V7,38,I0027,1600.0,0.0,0.0,0
V7,38,I1282,0.0,1200.0,0.0,0
V7,38,I0869,0.0,1200.0,950.0,0
V7,38,I0593,0.0,0.0,1350.0,0
V7,39,I0108,0.0,0.0,0.0,0
V7,39,I0128,1600.0,0.0,0.0,0
V7,39,I0008,0.0,1200.0,0.0,0
V7,39,I1224,0.0,1200.0,950.0,0
V7,39,I0832,0.0,0.0,1350.0,0
V7,40,I0178,0.0,0.0,0.0,0
V7,40,I0248,1600.0,0.0,0.0,0
V7,40,I0018,0.0,1200.0,0.0,0
V7,40,I1240,0.0,1200.0,950.0,0
V7,40,I1048,0.0,0.0,1350.0,0
V7,41,I0256,0.0,0.0,0.0,0
V7,41,I0257,1600.0,0.0,0.0,0
V7,41,I0105,0.0,1200.0,0.0,0
V7,41,I0782,0.0,1200.0,950.0,0
V7,41,I0530,0.0,0.0,1350.0,0
V7,42,I0271,0.0,0.0,0.0,0
V7,42,I0280,1600.0,0.0,0.0,0
V7,42,I0197,0.0,1200.0,0.0,0
V7,42,I0049,0.0,1200.0,950.0,0
V7,42,I0621,0.0,0.0,1350.0,0
V7,43,I0316,0.0,0.0,0.0,0
V7,43,I0342,1600.0,0.0,0.0,0
V7,43,I0330,0.0,1200.0,0.0,0
V7,43,I0144,0.0,1200.0,950.0,0
V7,43,I0629,0.0,0.0,1350.0,0
V7,44,I0493,0.0,0.0,0.0,0
V7,44,I0549,1600.0,0.0,0.0,0
V7,44,I0347,0.0,1200.0,0.0,0
V7,44,I0149,0.0,1200.0,950.0,0
V7,44,I0893,0.0,0.0,1350.0,0
